,Name,Publisher,Year_of_Release,Game_Age,Genre,Platform,Platform_Launch_Year,Game_released_xYears_after_Platform,Platform_Death,Years_since_Platform_Discontinued,Platform_Lifespan,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
8074,Rapala Fishing Frenzy 2009,Activision,2008,8,Sports,PS3,2006,2,2016,0,10,0.16,0.0,0.0,0.01,0.17
8075,Petz: Horseshoe Ranch,Ubisoft,2009,7,Adventure,DS,2004,5,2013,3,9,0.16,0.0,0.0,0.01,0.17
8076,Open Season,Ubisoft,2006,10,Platform,GC,2001,5,2007,9,6,0.13,0.03,0.0,0.0,0.17
8077,Ridge Racer,Namco Bandai Games,2011,5,Racing,PSV,2011,0,2016,0,5,0.03,0.07,0.05,0.02,0.17
8078,EyePet & Friends,Sony Computer Entertainment,2011,5,Simulation,PS3,2006,5,2016,0,10,0.06,0.08,0.0,0.03,0.17
8079,Street Fighter: The Movie,Acclaim Entertainment,1995,21,Fighting,PS,1994,1,2000,16,6,0.1,0.07,0.0,0.01,0.17
8080,Major League Baseball 2K9,Other,2009,7,Sports,PS3,2006,3,2016,0,10,0.16,0.0,0.0,0.01,0.17
8081,World Championship Poker,Other,2004,12,Misc,GBA,2001,3,2010,6,9,0.12,0.05,0.0,0.0,0.17
8082,Global Defence Force,Other,2005,11,Shooter,PS2,2000,5,2013,3,13,0.0,0.0,0.17,0.0,0.17
8083,Major League Baseball 2K6,Take-Two Interactive,2006,10,Sports,GC,2001,5,2007,9,6,0.13,0.03,0.0,0.0,0.17
8084,WordJong Party,Other,2008,8,Puzzle,Wii,2006,2,2016,0,10,0.16,0.0,0.0,0.01,0.17
8085,SaGa 2: Hihou Densetsu - Goddess of Destiny,Square Enix,2009,7,Role-Playing,DS,2004,5,2013,3,9,0.0,0.0,0.17,0.0,0.17
8086,Smash Court Tennis Pro Tournament,Sony Computer Entertainment,2002,14,Sports,PS2,2000,2,2013,3,13,0.08,0.07,0.0,0.02,0.17
8087,Super Robot Taisen L,Namco Bandai Games,2010,6,Strategy,DS,2004,6,2013,3,9,0.0,0.0,0.17,0.0,0.17
8088,Race Pro,Atari,2009,7,Racing,X360,2005,4,2016,0,11,0.06,0.09,0.0,0.02,0.17
8089,The Grim Adventures of Billy & Mandy,Midway Games,2006,10,Action,GC,2001,5,2007,9,6,0.13,0.03,0.0,0.0,0.17
8090,NBA Inside Drive 2004,Microsoft Game Studios,2003,13,Sports,XB,2001,2,2009,7,8,0.13,0.04,0.0,0.01,0.17
8091,The King of Fighters '97,Other,1998,18,Fighting,PS,1994,4,2000,16,6,0.0,0.0,0.16,0.01,0.17
8092,Time Commando,Other,1996,20,Action,PS,1994,2,2000,16,6,0.1,0.07,0.0,0.01,0.17
8093,Professional Fisherman's Tour: Northern Hemisphere,505 Games,2007,9,Sports,DS,2004,3,2013,3,9,0.16,0.0,0.0,0.01,0.17
8094,Kekkaishi: Karasumori Ayakashi Kidan,Namco Bandai Games,2007,9,Action,DS,2004,3,2013,3,9,0.0,0.0,0.17,0.0,0.17
8095,Gretzky NHL 2005,Sony Computer Entertainment,2004,12,Sports,PS2,2000,4,2013,3,13,0.08,0.07,0.0,0.02,0.17
8096,Dungeon Siege III,Square Enix,2011,5,Role-Playing,PC,1977,34,2016,0,39,0.08,0.08,0.0,0.02,0.17
8097,The Hobbit,Vivendi Games,2003,13,Platform,GC,2001,2,2007,9,6,0.13,0.03,0.0,0.0,0.17
8098,MotoGP 15,Other,2015,1,Racing,PS4,2013,2,2016,0,3,0.0,0.12,0.03,0.02,0.17
8099,Backyard Sports Football: Rookie Rush,Atari,2010,6,Sports,DS,2004,6,2013,3,9,0.16,0.0,0.0,0.01,0.17
8100,Skate it,Electronic Arts,2008,8,Sports,DS,2004,4,2013,3,9,0.14,0.02,0.0,0.01,0.17
8101,Cabela's Legendary Adventures,Activision,2008,8,Sports,Wii,2006,2,2016,0,10,0.16,0.0,0.0,0.01,0.17
8102,True Crime: New York City,Activision,2005,11,Action,GC,2001,4,2007,9,6,0.13,0.03,0.0,0.0,0.17
8103,Metal Arms: Glitch in the System,Vivendi Games,2003,13,Shooter,XB,2001,2,2009,7,8,0.13,0.04,0.0,0.01,0.17
8104,The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,Namco Bandai Games,2012,4,Action,PSP,2004,8,2014,2,10,0.0,0.0,0.17,0.0,0.17
8105,Toukiden Kiwami,Tecmo Koei,2015,1,Action,PS4,2013,2,2016,0,3,0.05,0.07,0.02,0.02,0.17
8106,The Secret World,Other,2012,4,Role-Playing,PC,1977,35,2016,0,39,0.07,0.08,0.0,0.02,0.17
8107,Ice Age: Dawn of the Dinosaurs,Activision,2009,7,Action,PS2,2000,9,2013,3,13,0.08,0.07,0.0,0.02,0.17
8108,ESPN Final Round Golf 2002,Konami Digital Entertainment,2001,15,Sports,GBA,2001,0,2010,6,9,0.12,0.05,0.0,0.0,0.17
8109,Iron Chef America: Supreme Cuisine,Other,2008,8,Simulation,Wii,2006,2,2016,0,10,0.16,0.0,0.0,0.01,0.17
8110,MDK2 Armageddon,Other,2001,15,Shooter,PS2,2000,1,2013,3,13,0.08,0.07,0.0,0.02,0.17
8111,Exhibition Volume 02,Microsoft Game Studios,2003,13,Misc,XB,2001,2,2009,7,8,0.13,0.04,0.0,0.01,0.17
8112,NHL 2K9,Take-Two Interactive,2008,8,Sports,X360,2005,3,2016,0,11,0.15,0.01,0.0,0.01,0.17
8113,I Spy: Castle,Other,2011,5,Puzzle,DS,2004,7,2013,3,9,0.16,0.0,0.0,0.01,0.17
8114,Fight Night Round 2,Electronic Arts,2005,11,Fighting,GC,2001,4,2007,9,6,0.13,0.03,0.0,0.0,0.17
8115,Disney's Atlantis: The Lost Empire,Sony Computer Entertainment,2001,15,Platform,PS,1994,7,2000,16,6,0.1,0.07,0.0,0.01,0.17
8116,Power Pro Kun Pocket,Konami Digital Entertainment,1999,17,Sports,GB,1989,10,2003,13,14,0.0,0.0,0.17,0.0,0.17
8117,The King of Fighters '97,Other,1998,18,Fighting,SAT,1994,4,2000,16,6,0.0,0.0,0.17,0.0,0.17
8118,Tamagotchi no Narikiri Challenge,Namco Bandai Games,2010,6,Action,DS,2004,6,2013,3,9,0.0,0.0,0.17,0.0,0.17
8119,Madden NFL 17,Electronic Arts,2016,0,Sports,X360,2005,11,2016,0,11,0.14,0.02,0.0,0.02,0.17
8120,Jewel Match,Other,2010,6,Puzzle,DS,2004,6,2013,3,9,0.05,0.11,0.0,0.02,0.17
8121,Space Battleship Yamato: Harukanaru Hoshi Iscandar,Namco Bandai Games,1999,17,Strategy,PS,1994,5,2000,16,6,0.0,0.0,0.16,0.01,0.17
8122,Lost in Blue 3,Konami Digital Entertainment,2007,9,Adventure,DS,2004,3,2013,3,9,0.09,0.02,0.06,0.01,0.17
8123,Sound Novel Evolution 1: Otogirisou Sosei-Hen,Other,1999,17,Adventure,PS,1994,5,2000,16,6,0.0,0.0,0.16,0.01,0.17
8124,Stormrise,Sega,2009,7,Strategy,PS3,2006,3,2016,0,10,0.13,0.02,0.0,0.02,0.17
8125,Psi-Ops: The Mindgate Conspiracy,Midway Games,2004,12,Shooter,XB,2001,3,2009,7,8,0.13,0.04,0.0,0.01,0.17
8126,X-Men: The Official Game,Activision,2006,10,Action,X360,2005,1,2016,0,11,0.16,0.0,0.0,0.01,0.17
8127,SWAT: Global Strike Team,Vivendi Games,2003,13,Shooter,XB,2001,2,2009,7,8,0.13,0.04,0.0,0.01,0.17
8128,Horrid Henry: Missions of Mischief,Other,2010,6,Adventure,DS,2004,6,2013,3,9,0.01,0.14,0.0,0.02,0.17
8129,Cabela's Legendary Adventures,Activision,2008,8,Sports,PSP,2004,4,2014,2,10,0.16,0.0,0.0,0.02,0.17
8130,Pictionary,THQ,2010,6,Puzzle,DS,2004,6,2013,3,9,0.09,0.06,0.0,0.02,0.17
8131,Hitman: HD Trilogy,Square Enix,2013,3,Action,X360,2005,8,2016,0,11,0.07,0.08,0.0,0.02,0.17
8132,MX World Tour Featuring Jamie Little,Other,2005,11,Racing,PS2,2000,5,2013,3,13,0.08,0.07,0.0,0.02,0.17
8133,Goblin Commander: Unleash the Horde,Other,2003,13,Strategy,PS2,2000,3,2013,3,13,0.08,0.07,0.0,0.02,0.17
8134,uDraw Studio: Instant Artist,THQ,2011,5,Misc,Wii,2006,5,2016,0,10,0.06,0.09,0.0,0.02,0.17
8135,Hello Kitty: Happy Party Pals,THQ,2005,11,Misc,GBA,2001,4,2010,6,9,0.12,0.05,0.0,0.0,0.17
8136,Jikkyou Powerful Pro Baseball 2016,Konami Digital Entertainment,2016,0,Sports,PS4,2013,3,2016,0,3,0.0,0.0,0.17,0.0,0.17
8137,Backyard NFL Football '09,Atari,2008,8,Sports,PS2,2000,8,2013,3,13,0.08,0.07,0.0,0.02,0.17
8138,World Destruction League: Thunder Tanks,Other,2000,16,Action,PS2,2000,0,2013,3,13,0.08,0.07,0.0,0.02,0.17
8139,Tom Clancy's Ghost Recon: Future Soldier,Ubisoft,2012,4,Shooter,PC,1977,35,2016,0,39,0.05,0.1,0.0,0.02,0.17
8140,Backyard Baseball '10,Atari,2009,7,Sports,PS2,2000,9,2013,3,13,0.08,0.07,0.0,0.02,0.17
8141,Resident Evil Director's Cut: Dual Shock Edition,Capcom,1997,19,Action,PS,1994,3,2000,16,6,0.0,0.0,0.16,0.01,0.17
8142,Broken Sword: Shadows of the Templars - The Director's Cut,Ubisoft,2009,7,Adventure,DS,2004,5,2013,3,9,0.07,0.08,0.0,0.02,0.17
8143,PlayStation Move Heroes,Sony Computer Entertainment,2011,5,Platform,PS3,2006,5,2016,0,10,0.08,0.06,0.0,0.03,0.17
8144,The King of Fighters '95,Sony Computer Entertainment,1996,20,Fighting,PS,1994,2,2000,16,6,0.0,0.0,0.16,0.01,0.17
8145,RoadKill,Midway Games,2003,13,Action,PS2,2000,3,2013,3,13,0.08,0.07,0.0,0.02,0.17
8146,Hanjuku Eiyuu Tai 3D,Square Enix,2003,13,Role-Playing,PS2,2000,3,2013,3,13,0.0,0.0,0.17,0.0,0.17
8147,.hack//G.U. Vol.3//Redemption,Namco Bandai Games,2007,9,Role-Playing,PS2,2000,7,2013,3,13,0.0,0.0,0.17,0.0,0.17
8148,Super Robot Taisen Compact 2 Dai-1-Bu,Namco Bandai Games,2000,16,Strategy,WS,1999,1,2003,13,4,0.0,0.0,0.17,0.0,0.17
8149,Looney Tunes: Back in Action,Warner Bros. Interactive Entertainment,2003,13,Platform,GC,2001,2,2007,9,6,0.13,0.03,0.0,0.0,0.17
8150,Marvel Super Hero Squad: The Infinity Gauntlet,THQ,2010,6,Action,PS3,2006,4,2016,0,10,0.12,0.03,0.0,0.02,0.17
8151,The Chronicles of Narnia: Prince Caspian,Disney Interactive Studios,2008,8,Action,PS3,2006,2,2016,0,10,0.14,0.01,0.0,0.02,0.17
8152,Tak: The Great Juju Challenge,THQ,2005,11,Platform,GBA,2001,4,2010,6,9,0.12,0.05,0.0,0.0,0.17
8153,Yu-Gi-Oh! Zexal World Duel Carnival,Konami Digital Entertainment,2013,3,Misc,3DS,2011,2,2016,0,5,0.0,0.08,0.08,0.01,0.17
8154,SingStar Motown,Sony Computer Entertainment,2009,7,Misc,PS3,2006,3,2016,0,10,0.0,0.15,0.0,0.02,0.17
8155,Macross Ultimate Frontier,Namco Bandai Games,2009,7,Action,PSP,2004,5,2014,2,10,0.0,0.0,0.17,0.0,0.17
8156,Top Spin 2,Take-Two Interactive,2006,10,Sports,X360,2005,1,2016,0,11,0.15,0.0,0.0,0.01,0.17
8157,Hunter: The Reckoning Redeemer,Other,2003,13,Action,XB,2001,2,2009,7,8,0.13,0.04,0.0,0.01,0.17
8158,Age of Empires III: Complete Collection,Microsoft Game Studios,2009,7,Strategy,PC,1977,32,2016,0,39,0.01,0.12,0.0,0.03,0.17
8159,Captain America: Super Soldier,Sega,2011,5,Action,X360,2005,6,2016,0,11,0.11,0.05,0.0,0.01,0.17
8160,Tokyo Xtreme Racer,Other,1999,17,Racing,DC,1998,1,2001,15,3,0.0,0.0,0.17,0.0,0.17
8161,Fighter Maker,Other,1998,18,Fighting,PS,1994,4,2000,16,6,0.05,0.04,0.07,0.01,0.17
8162,Danganronpa 2: Goodbye Despair,Nippon Ichi Software,2014,2,Misc,PSV,2011,3,2016,0,5,0.08,0.05,0.0,0.04,0.17
8163,Thief: Deadly Shadows,Eidos Interactive,2004,12,Action,XB,2001,3,2009,7,8,0.13,0.04,0.0,0.01,0.17
8164,Monkey Island: Special Edition Collection,Other,2011,5,Adventure,PC,1977,34,2016,0,39,0.0,0.14,0.0,0.03,0.17
8165,MotoGP 10/11,Capcom,2011,5,Racing,PS3,2006,5,2016,0,10,0.04,0.1,0.0,0.03,0.17
8166,NBA 09: The Inside,Sony Computer Entertainment,2008,8,Sports,PSP,2004,4,2014,2,10,0.16,0.0,0.0,0.01,0.17
8167,Batman Begins,Electronic Arts,2005,11,Action,GBA,2001,4,2010,6,9,0.12,0.05,0.0,0.0,0.17
8168,Mercury Meltdown Revolution,Other,2007,9,Action,Wii,2006,1,2016,0,10,0.16,0.0,0.0,0.01,0.17
8169,Glover,Atari,1999,17,Platform,PS,1994,5,2000,16,6,0.09,0.06,0.0,0.01,0.17
8170,Country Dance: All Stars,Other,2012,4,Action,X360,2005,7,2016,0,11,0.16,0.0,0.0,0.01,0.17
8171,Let's TAP,Sega,2008,8,Misc,Wii,2006,2,2016,0,10,0.08,0.06,0.01,0.02,0.17
8172,Mahjong Fight Club,Konami Digital Entertainment,2004,12,Misc,PSP,2004,0,2014,2,10,0.0,0.0,0.17,0.0,0.17
8173,Turok 3: Shadow of Oblivion,Acclaim Entertainment,2000,16,Shooter,N64,1996,4,2002,14,6,0.12,0.05,0.0,0.0,0.17
8174,Bomberman 64: The Second Attack!,Other,1999,17,Adventure,N64,1996,3,2002,14,6,0.05,0.01,0.11,0.0,0.17
8175,World Driver Championship,Midway Games,1999,17,Racing,N64,1996,3,2002,14,6,0.14,0.03,0.0,0.0,0.17
8176,The Lord of the Rings: Aragorn's Quest,Warner Bros. Interactive Entertainment,2010,6,Action,PS3,2006,4,2016,0,10,0.1,0.04,0.0,0.02,0.17
8177,Spawn: Armageddon,Electronic Arts,2003,13,Action,XB,2001,2,2009,7,8,0.13,0.04,0.0,0.01,0.17
8178,Project X Zone 2: Brave New World,Namco Bandai Games,2015,1,Role-Playing,3DS,2011,4,2016,0,5,0.05,0.03,0.08,0.01,0.17
8179,Pokémon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,Nintendo,2004,12,Misc,GBA,2001,3,2010,6,9,0.12,0.05,0.0,0.0,0.17
8180,Major League Baseball 2K9,Other,2009,7,Sports,PS2,2000,9,2013,3,13,0.08,0.06,0.0,0.02,0.17
8181,Gundam Assault Survive,Namco Bandai Games,2010,6,Action,PSP,2004,6,2014,2,10,0.0,0.0,0.17,0.0,0.17
8182,Bee Movie Game,Activision,2007,9,Action,X360,2005,2,2016,0,11,0.16,0.0,0.0,0.01,0.17
8183,Luxor 3,Other,2008,8,Puzzle,Wii,2006,2,2016,0,10,0.16,0.0,0.0,0.01,0.17
8184,Disney TH!NK Fast: The Ultimate Trivia Showdown,Disney Interactive Studios,2008,8,Misc,PS2,2000,8,2013,3,13,0.08,0.06,0.0,0.02,0.17
8185,Jikkyou Powerful Pro Yakyuu 2013,Konami Digital Entertainment,2013,3,Sports,PSP,2004,9,2014,2,10,0.0,0.0,0.17,0.0,0.17
8186,Fate/Stay Night [Réalta Nua],Other,2007,9,Adventure,PS2,2000,7,2013,3,13,0.0,0.0,0.17,0.0,0.17
8187,Disney's Home on the Range,Disney Interactive Studios,2004,12,Action,GBA,2001,3,2010,6,9,0.12,0.04,0.0,0.0,0.17
8188,The Rise of the Argonauts,Codemasters,2008,8,Role-Playing,X360,2005,3,2016,0,11,0.03,0.12,0.0,0.01,0.17
8189,Conception II: Children of the Seven Stars,Other,2013,3,Role-Playing,PSV,2011,2,2016,0,5,0.1,0.0,0.04,0.03,0.17
8190,Deus Ex: Mankind Divided,Square Enix,2016,0,Role-Playing,XOne,2013,3,2016,0,3,0.09,0.06,0.0,0.01,0.17
8191,Space Griffon VF-9,Other,1995,21,Role-Playing,PS,1994,1,2000,16,6,0.02,0.02,0.12,0.01,0.17
8192,Professor Heinz Wolff's Gravity,Deep Silver,2008,8,Puzzle,Wii,2006,2,2016,0,10,0.04,0.12,0.0,0.02,0.17
8193,.hack//G.U. Vol.1//Rebirth,Namco Bandai Games,2006,10,Role-Playing,PS2,2000,6,2013,3,13,0.0,0.0,0.17,0.0,0.17
8194,Transformers: Dark of the Moon,Activision,2011,5,Action,Wii,2006,5,2016,0,10,0.09,0.06,0.0,0.02,0.17
8195,FaceBreaker,Electronic Arts,2008,8,Fighting,PS3,2006,2,2016,0,10,0.13,0.02,0.0,0.02,0.17
8196,Star Wars: Battlefront II,Other,2005,11,Shooter,PC,1977,28,2016,0,39,0.02,0.13,0.0,0.02,0.17
8197,Michael Jackson: The Experience 3D,Ubisoft,2011,5,Misc,3DS,2011,0,2016,0,5,0.13,0.03,0.0,0.01,0.17
8198,Gyakuten Saiban 3,Capcom,2004,12,Adventure,GBA,2001,3,2010,6,9,0.0,0.0,0.16,0.0,0.17
8199,Digimon Story: Cyber Sleuth,Namco Bandai Games,2015,1,Role-Playing,PSV,2011,4,2016,0,5,0.0,0.0,0.17,0.0,0.17
8200,Gallop Racer 2001,Tecmo Koei,2001,15,Sports,PS2,2000,1,2013,3,13,0.05,0.04,0.06,0.01,0.17
8201,Hellboy: The Science of Evil,Konami Digital Entertainment,2008,8,Action,PS3,2006,2,2016,0,10,0.13,0.02,0.0,0.02,0.17
8202,Nightmare Creatures II,Konami Digital Entertainment,2000,16,Action,PS,1994,6,2000,16,6,0.09,0.06,0.0,0.01,0.17
8203,MotoGP 09/10,Capcom,2010,6,Racing,X360,2005,5,2016,0,11,0.07,0.09,0.0,0.02,0.17
8204,Bratz Kidz,Other,2008,8,Misc,Wii,2006,2,2016,0,10,0.16,0.0,0.0,0.01,0.17
8205,N3 II: Ninety-Nine Nights,Microsoft Game Studios,2010,6,Action,X360,2005,5,2016,0,11,0.06,0.06,0.04,0.01,0.17
8206,Catwoman,Electronic Arts,2004,12,Action,PS2,2000,4,2013,3,13,0.08,0.06,0.0,0.02,0.17
8207,Garfield: Lasagna World Tour,Other,2007,9,Action,PS2,2000,7,2013,3,13,0.08,0.06,0.0,0.02,0.17
8208,Bomberman B-Daman,Other,1996,20,Shooter,SNES,1990,6,2003,13,13,0.0,0.0,0.17,0.0,0.17
8209,Monsters vs. Aliens,Activision,2009,7,Action,X360,2005,4,2016,0,11,0.12,0.03,0.0,0.01,0.17
8210,Beat Down: Fists of Vengeance,Capcom,2005,11,Action,PS2,2000,5,2013,3,13,0.04,0.03,0.09,0.01,0.17
8211,World Destruction League: Thunder Tanks,Other,2000,16,Action,PS,1994,6,2000,16,6,0.09,0.06,0.0,0.01,0.17
8212,Terminator 3: The Redemption,Atari,2004,12,Shooter,PS2,2000,4,2013,3,13,0.08,0.06,0.0,0.02,0.17
8213,Reloaded,Other,1996,20,Action,PS,1994,2,2000,16,6,0.09,0.06,0.0,0.01,0.17
8214,Anarchy Reigns,Sega,2012,4,Action,X360,2005,7,2016,0,11,0.12,0.02,0.02,0.01,0.17
8215,SSX On Tour,Electronic Arts,2005,11,Sports,GC,2001,4,2007,9,6,0.13,0.03,0.0,0.0,0.17
8216,Bladestorm: Nightmare,Tecmo Koei,2015,1,Action,PS4,2013,2,2016,0,3,0.08,0.04,0.03,0.02,0.17
8217,Fairytale Fights,Other,2009,7,Action,X360,2005,4,2016,0,11,0.14,0.02,0.0,0.01,0.17
8218,LEGO Marvel Super Heroes,Warner Bros. Interactive Entertainment,2013,3,Action,PC,1977,36,2016,0,39,0.04,0.12,0.0,0.01,0.17
8219,Hot Wheels: Beat That!,Activision,2007,9,Racing,X360,2005,2,2016,0,11,0.15,0.0,0.0,0.01,0.17
8220,Ashes Cricket 2009,Codemasters,2009,7,Sports,PS3,2006,3,2016,0,10,0.0,0.15,0.0,0.01,0.17
8221,James Bond 007: Everything or Nothing,Electronic Arts,2003,13,Shooter,GBA,2001,2,2010,6,9,0.12,0.04,0.0,0.0,0.17
8222,Naruto Shippuden: Ultimate Ninja 5,Namco Bandai Games,2007,9,Fighting,PS2,2000,7,2013,3,13,0.0,0.0,0.17,0.0,0.17
8223,Shrek Extra Large,Other,2002,14,Platform,GC,2001,1,2007,9,6,0.13,0.03,0.0,0.0,0.17
8224,Final Fantasy V,Other,1998,18,Role-Playing,PS,1994,4,2000,16,6,0.0,0.0,0.16,0.01,0.17
8225,World Tour Soccer 2006,Sony Computer Entertainment,2004,12,Sports,PS2,2000,4,2013,3,13,0.08,0.06,0.0,0.02,0.17
8226,Gunvalkyrie,Other,2002,14,Shooter,XB,2001,1,2009,7,8,0.13,0.04,0.0,0.01,0.17
8227,Camp Rock: The Final Jam,Disney Interactive Studios,2010,6,Misc,DS,2004,6,2013,3,9,0.14,0.02,0.0,0.01,0.17
8228,NickToons: Racing,Other,2001,15,Racing,PS,1994,7,2000,16,6,0.09,0.06,0.0,0.01,0.17
8229,Jillian Michaels Fitness Ultimatum 2011,D3Publisher,2010,6,Sports,Wii,2006,4,2016,0,10,0.16,0.0,0.0,0.01,0.17
8230,VR Golf '97,Other,1996,20,Sports,PS,1994,2,2000,16,6,0.09,0.06,0.0,0.01,0.17
8231,State of Emergency,Take-Two Interactive,2003,13,Action,XB,2001,2,2009,7,8,0.13,0.04,0.0,0.01,0.17
8232,Off-World Interceptor Extreme,Other,1995,21,Racing,PS,1994,1,2000,16,6,0.09,0.06,0.0,0.01,0.17
8233,Sumikko Gurashi: Koko ga Ochitsukundesu,Other,2014,2,Action,3DS,2011,3,2016,0,5,0.0,0.0,0.17,0.0,0.17
8234,Disney Golf,Electronic Arts,2002,14,Sports,PS2,2000,2,2013,3,13,0.07,0.06,0.02,0.02,0.17
8235,The Naked Brothers Band: The Video Game,THQ,2008,8,Misc,PS2,2000,8,2013,3,13,0.08,0.06,0.0,0.02,0.17
8236,Fuzion Frenzy 2,Microsoft Game Studios,2007,9,Misc,X360,2005,2,2016,0,11,0.14,0.01,0.0,0.01,0.17
8237,Demon Gaze,Nippon Ichi Software,2013,3,Role-Playing,PSV,2011,2,2016,0,5,0.04,0.02,0.08,0.02,0.17
8238,Clock Tower II: The Struggle Within,Other,1998,18,Adventure,PS,1994,4,2000,16,6,0.02,0.01,0.12,0.01,0.17
8239,Batman Beyond: Return of the Joker,Ubisoft,2000,16,Action,PS,1994,6,2000,16,6,0.09,0.06,0.0,0.01,0.17
8240,My French Coach,Ubisoft,2007,9,Misc,DS,2004,3,2013,3,9,0.14,0.01,0.0,0.01,0.17
8241,Backyard NFL Football '10,Atari,2009,7,Sports,Wii,2006,3,2016,0,10,0.16,0.0,0.0,0.01,0.17
8242,CSI: Fatal Conspiracy,Ubisoft,2010,6,Adventure,X360,2005,5,2016,0,11,0.11,0.04,0.0,0.01,0.17
8243,Mega Man Network Transmission,Capcom,2003,13,Platform,GC,2001,2,2007,9,6,0.13,0.03,0.0,0.0,0.17
8244,Densetsu no Stafi 4,Nintendo,2006,10,Platform,DS,2004,2,2013,3,9,0.0,0.0,0.17,0.0,0.17
8245,Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales),Other,2008,8,Role-Playing,PS2,2000,8,2013,3,13,0.0,0.0,0.17,0.0,0.17
8246,Fairytale Fights,Other,2009,7,Action,PS3,2006,3,2016,0,10,0.11,0.03,0.0,0.02,0.17
8247,How to Train Your Dragon 2,Other,2014,2,Adventure,X360,2005,9,2016,0,11,0.05,0.1,0.0,0.01,0.17
8248,Tokimeki Memorial: Private Collection,Konami Digital Entertainment,1996,20,Misc,PS,1994,2,2000,16,6,0.0,0.0,0.16,0.01,0.17
8249,Magical Starsign (US sales),Nintendo,2006,10,Role-Playing,DS,2004,2,2013,3,9,0.14,0.02,0.0,0.0,0.17
8250,RC Revenge Pro,Acclaim Entertainment,2000,16,Racing,PS2,2000,0,2013,3,13,0.08,0.06,0.0,0.02,0.17
8251,G-Force,Disney Interactive Studios,2009,7,Action,X360,2005,4,2016,0,11,0.11,0.05,0.0,0.01,0.17
8252,Surf's Up,Ubisoft,2007,9,Sports,Wii,2006,1,2016,0,10,0.15,0.0,0.0,0.01,0.17
8253,Buzz! Brain of the UK,Sony Computer Entertainment,2009,7,Misc,PS3,2006,3,2016,0,10,0.0,0.15,0.0,0.01,0.17
8254,Backyard Wrestling: Don't Try This at Home,Eidos Interactive,2003,13,Fighting,XB,2001,2,2009,7,8,0.13,0.04,0.0,0.01,0.17
8255,Gauntlet: Dark Legacy,Midway Games,2002,14,Action,XB,2001,1,2009,7,8,0.13,0.04,0.0,0.01,0.17
8256,Far East of Eden II: Manji Maru,Other,2003,13,Role-Playing,PS2,2000,3,2013,3,13,0.0,0.0,0.17,0.0,0.17
8257,Time and Eternity,Nippon Ichi Software,2012,4,Role-Playing,PS3,2006,6,2016,0,10,0.06,0.03,0.06,0.02,0.17
8258,Lost Kingdoms,Activision,2002,14,Role-Playing,GC,2001,1,2007,9,6,0.1,0.02,0.04,0.0,0.17
8259,Brunswick Cosmic Bowling,Other,2010,6,Sports,Wii,2006,4,2016,0,10,0.16,0.0,0.0,0.01,0.17
8260,Pursuit Force: Extreme Justice,Sony Computer Entertainment,2007,9,Action,PSP,2004,3,2014,2,10,0.07,0.06,0.0,0.03,0.17
8261,Disney Sing It: Family Hits,Disney Interactive Studios,2010,6,Misc,PS3,2006,4,2016,0,10,0.11,0.03,0.0,0.02,0.17
8262,Matchbox Cross Town Heroes,THQ,2002,14,Racing,GBA,2001,1,2010,6,9,0.12,0.04,0.0,0.0,0.17
8263,The Cursed Crusade,Other,2011,5,Action,PS3,2006,5,2016,0,10,0.07,0.06,0.01,0.03,0.17
8264,Ridge Racer Unbounded,Namco Bandai Games,2012,4,Racing,PS3,2006,6,2016,0,10,0.05,0.09,0.0,0.03,0.17
8265,Wolfenstein 3D,Other,2002,14,Shooter,GBA,2001,1,2010,6,9,0.12,0.04,0.0,0.0,0.17
8266,Nobunaga no Yabou: Tenshoki,Tecmo Koei,1996,20,Strategy,SNES,1990,6,2003,13,13,0.0,0.0,0.17,0.0,0.17
8267,NHL 07,Electronic Arts,2006,10,Sports,PSP,2004,2,2014,2,10,0.13,0.02,0.0,0.02,0.17
8268,I'm A Celebrity: Get Me Out of Here!,Other,2009,7,Misc,Wii,2006,3,2016,0,10,0.0,0.16,0.0,0.01,0.17
8269,Dementium: The Ward,Other,2007,9,Shooter,DS,2004,3,2013,3,9,0.15,0.01,0.0,0.01,0.17
8270,Mobile Suit Gundam: Extreme VS Force,Namco Bandai Games,2015,1,Action,PSV,2011,4,2016,0,5,0.0,0.0,0.17,0.0,0.17
8271,Dragon Quest X,Square Enix,2014,2,Role-Playing,3DS,2011,3,2016,0,5,0.0,0.0,0.17,0.0,0.17
8272,Learning to Spell,505 Games,2010,6,Misc,DS,2004,6,2013,3,9,0.16,0.0,0.0,0.01,0.17
8273,TRON: Evolution,Disney Interactive Studios,2010,6,Action,DS,2004,6,2013,3,9,0.11,0.04,0.0,0.01,0.17
8274,Sudoku Gridmaster,Nintendo,2006,10,Puzzle,DS,2004,2,2013,3,9,0.13,0.02,0.0,0.01,0.17
8275,NASCAR '14,Deep Silver,2014,2,Racing,X360,2005,9,2016,0,11,0.15,0.0,0.0,0.02,0.17
8276,Super Power League,Other,1993,23,Sports,SNES,1990,3,2003,13,13,0.0,0.0,0.17,0.0,0.17
