,Name,Publisher,Year_of_Release,Game_Age,Genre,Platform,Platform_Launch_Year,Game_released_xYears_after_Platform,Platform_Death,Years_since_Platform_Discontinued,Platform_Lifespan,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3594,NBA 2K8,Take-Two Interactive,2007,9,Sports,PS3,2006,1,2016,0,10,0.5,0.01,0.0,0.05,0.55
3595,Rayman Origins,Ubisoft,2011,5,Platform,Wii,2006,5,2016,0,10,0.21,0.27,0.0,0.06,0.55
3596,The Amazing Spider-Man 2 (2014),Activision,2014,2,Action,PS4,2013,1,2016,0,3,0.2,0.25,0.02,0.09,0.55
3597,SD Gundam G Generation Zero,Namco Bandai Games,1999,17,Strategy,PS,1994,5,2000,16,6,0.0,0.0,0.51,0.04,0.55
3598,Assassin's Creed: Unity,Ubisoft,2014,2,Action,PC,1977,37,2016,0,39,0.18,0.33,0.0,0.04,0.55
3599,MX vs. ATV: Alive,THQ,2011,5,Racing,X360,2005,6,2016,0,11,0.37,0.13,0.0,0.04,0.55
3600,Super Robot Taisen F,Other,1997,19,Strategy,SAT,1994,3,2000,16,6,0.0,0.0,0.55,0.0,0.55
3601,Shrek 2,Activision,2004,12,Platform,XB,2001,3,2009,7,8,0.4,0.13,0.0,0.02,0.55
3602,Purr Pals,THQ,2007,9,Simulation,DS,2004,3,2013,3,9,0.18,0.35,0.0,0.02,0.55
3603,Assassin's Creed II,Ubisoft,2010,6,Action,PC,1977,33,2016,0,39,0.01,0.45,0.0,0.09,0.55
3604,Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,Sega,2002,14,Sports,PS2,2000,2,2013,3,13,0.0,0.0,0.55,0.0,0.55
3605,Secret Agent Clank(US sales),Sony Computer Entertainment,2008,8,Platform,PSP,2004,4,2014,2,10,0.33,0.22,0.0,0.0,0.55
3606,SpongeBob SquarePants: SuperSponge,THQ,2001,15,Action,GBA,2001,0,2010,6,9,0.39,0.15,0.0,0.01,0.55
3607,Super Robot Taisen F Kanketsuhen,Other,1998,18,Strategy,SAT,1994,4,2000,16,6,0.0,0.0,0.55,0.0,0.55
3608,Tak and the Power of Juju,THQ,2003,13,Platform,GBA,2001,2,2010,6,9,0.39,0.15,0.0,0.01,0.55
3609,Madagascar: Escape 2 Africa,Activision,2008,8,Action,Wii,2006,2,2016,0,10,0.31,0.18,0.0,0.05,0.55
3610,Lips: Number One Hits,Microsoft Game Studios,2009,7,Misc,X360,2005,4,2016,0,11,0.15,0.34,0.0,0.06,0.55
3611,Mortal Kombat 3,Sony Computer Entertainment,1995,21,Fighting,PS,1994,1,2000,16,6,0.29,0.2,0.02,0.04,0.55
3612,Star Wars Battlefront (2015),Electronic Arts,2015,1,Shooter,PC,1977,38,2016,0,39,0.13,0.38,0.0,0.04,0.55
3613,Turok: Evolution,Acclaim Entertainment,2002,14,Shooter,XB,2001,1,2009,7,8,0.39,0.14,0.0,0.02,0.55
3614,Grease,505 Games,2010,6,Misc,Wii,2006,4,2016,0,10,0.26,0.24,0.0,0.05,0.55
3615,Jak X: Combat Racing,Sony Computer Entertainment,2005,11,Racing,PS2,2000,5,2013,3,13,0.45,0.02,0.0,0.07,0.55
3616,Donkey Kong Jungle Climber,Nintendo,2007,9,Platform,DS,2004,3,2013,3,9,0.25,0.03,0.24,0.03,0.55
3617,American Idol,Codemasters,2003,13,Misc,PS2,2000,3,2013,3,13,0.27,0.21,0.0,0.07,0.55
3618,Top Gun: Fire at Will!,Other,1996,20,Misc,PS,1994,2,2000,16,6,0.3,0.21,0.0,0.04,0.55
3619,Barbie Horse Adventures: Riding Camp,Activision,2008,8,Sports,DS,2004,4,2013,3,9,0.5,0.0,0.0,0.04,0.55
3620,Red Dead Revolver,Take-Two Interactive,2004,12,Shooter,XB,2001,3,2009,7,8,0.4,0.12,0.0,0.02,0.55
3621,CrossworDS,Deep Silver,2008,8,Puzzle,DS,2004,4,2013,3,9,0.5,0.0,0.0,0.04,0.55
3622,Viva Pinata: Pocket Paradise,THQ,2008,8,Simulation,DS,2004,4,2013,3,9,0.26,0.23,0.0,0.06,0.55
3623,Petz Catz Clan,Ubisoft,2008,8,Simulation,DS,2004,4,2013,3,9,0.47,0.03,0.0,0.04,0.54
3624,ZhuZhu Pets 2: Featuring The Wild Bunch,Activision,2010,6,Simulation,DS,2004,6,2013,3,9,0.4,0.1,0.0,0.04,0.54
3625,Sly Cooper: Thieves in Time,Other,2013,3,Platform,PS3,2006,7,2016,0,10,0.35,0.12,0.0,0.08,0.54
3626,Iron Man,Sega,2008,8,Action,PS2,2000,8,2013,3,13,0.36,0.0,0.0,0.19,0.54
3627,SingStar Summer Party,Sony Computer Entertainment,2008,8,Misc,PS2,2000,8,2013,3,13,0.0,0.06,0.0,0.48,0.54
3628,Spec Ops: The Line,Take-Two Interactive,2012,4,Shooter,PS3,2006,6,2016,0,10,0.19,0.23,0.04,0.08,0.54
3629,The SpongeBob SquarePants Movie,THQ,2004,12,Platform,XB,2001,3,2009,7,8,0.4,0.12,0.0,0.02,0.54
